,column_name,file,freq_item
63,Independent_Website,u553-m549.tsv.gz,PythonRDD[1932] at RDD at PythonRDD.scala:53
64,Street_Name,uzcy-9puk.tsv.gz,PythonRDD[1933] at RDD at PythonRDD.scala:53
65,VendorAddress,dg92-zbpx.tsv.gz,PythonRDD[1934] at RDD at PythonRDD.scala:53
66,QUEENS_____CONDOMINIUMS_COMPARABLE_PROPERTIES_____Neighborhood,jcih-dj9q.tsv.gz,[0]
67,CANDMI,735p-zed8.tsv.gz,PythonRDD[1935] at RDD at PythonRDD.scala:53
68,CITY,vg63-xw6u.tsv.gz,PythonRDD[1936] at RDD at PythonRDD.scala:53
69,Cross_Street_1,aiww-p3af.tsv.gz,PythonRDD[1937] at RDD at PythonRDD.scala:53
70,Agency,sa5w-dn2t.tsv.gz,PythonRDD[1938] at RDD at PythonRDD.scala:53
71,ADDRESS,cspg-yi7g.tsv.gz,PythonRDD[1939] at RDD at PythonRDD.scala:53
72,QUEENS_CONDOMINIUM_PROPERTY_Neighborhood,crbs-vur7.tsv.gz,PythonRDD[1940] at RDD at PythonRDD.scala:53
73,City,erm2-nwe9.tsv.gz,PythonRDD[1941] at RDD at PythonRDD.scala:53
74,Owner_s__Phone__,nyis-y4yr.tsv.gz,[0]
75,Address_1,tukx-dsca.tsv.gz,PythonRDD[1942] at RDD at PythonRDD.scala:53
76,DBA,9b9u-8989.tsv.gz,PythonRDD[1943] at RDD at PythonRDD.scala:53
77,Agency_Name,e4p3-6ecr.tsv.gz,PythonRDD[1944] at RDD at PythonRDD.scala:53
78,BROOKLYN_CONDOMINIUM_PROPERTY_Neighborhood,5mw2-hzqx.tsv.gz,PythonRDD[1945] at RDD at PythonRDD.scala:53
79,Vehicle_Make,kiv2-tbus.tsv.gz,PythonRDD[1946] at RDD at PythonRDD.scala:53
80,COMPARABLE_RENTAL_1__Building_Classification,w6yt-hctp.tsv.gz,PythonRDD[1947] at RDD at PythonRDD.scala:53
81,CANDMI,k3cd-yu9d.tsv.gz,PythonRDD[1948] at RDD at PythonRDD.scala:53
82,Borough,ii2w-6fne.tsv.gz,PythonRDD[1949] at RDD at PythonRDD.scala:53
83,Location,w7w3-xahh.tsv.gz,PythonRDD[1950] at RDD at PythonRDD.scala:53
84,Park_Facility_Name,erm2-nwe9.tsv.gz,PythonRDD[1951] at RDD at PythonRDD.scala:53
85,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,5nz7-hh6t.tsv.gz,[0]
86,Website,8wbx-tsch.tsv.gz,PythonRDD[1952] at RDD at PythonRDD.scala:53
87,SCHOOL_LEVEL_,xne4-4v8f.tsv.gz,[0]
88,neighborhood,vw9i-7mzq.tsv.gz,PythonRDD[1953] at RDD at PythonRDD.scala:53
89,SCHOOL_LEVEL_,yayv-apxh.tsv.gz,[0]
90,Park_Facility_Name,aiww-p3af.tsv.gz,PythonRDD[1954] at RDD at PythonRDD.scala:53
91,Violation_Location__City_,jz4z-kudi.tsv.gz,[0]
92,Vehicle_Body_Type,kiv2-tbus.tsv.gz,PythonRDD[1955] at RDD at PythonRDD.scala:53
93,SCHOOL_LEVEL_,fzv4-jan3.tsv.gz,[0]
94,Address_ZIP,w7w3-xahh.tsv.gz,PythonRDD[1956] at RDD at PythonRDD.scala:53
95,INTEREST,i9pf-sj7c.tsv.gz,PythonRDD[1957] at RDD at PythonRDD.scala:53
96,ZIP,ci93-uc8s.tsv.gz,PythonRDD[1958] at RDD at PythonRDD.scala:53
97,School_Name,jtus-srrj.tsv.gz,PythonRDD[1959] at RDD at PythonRDD.scala:53
98,Vehicle_Color,a5td-mswe.tsv.gz,PythonRDD[1960] at RDD at PythonRDD.scala:53
99,Location_1,29bw-z7pj.tsv.gz,PythonRDD[1961] at RDD at PythonRDD.scala:53
100,interest4,vw9i-7mzq.tsv.gz,PythonRDD[1962] at RDD at PythonRDD.scala:53
101,Vehicle_Make,pvqr-7yc4.tsv.gz,PythonRDD[1963] at RDD at PythonRDD.scala:53
102,Incident_Zip,3rfa-3xsf.tsv.gz,PythonRDD[1964] at RDD at PythonRDD.scala:53
103,Vehicle_Body_Type,faiq-9dfq.tsv.gz,PythonRDD[1965] at RDD at PythonRDD.scala:53
104,Vehicle_Body_Type,pvqr-7yc4.tsv.gz,PythonRDD[1966] at RDD at PythonRDD.scala:53
105,StreetName,kj4p-ruqc.tsv.gz,PythonRDD[1967] at RDD at PythonRDD.scala:53
106,Location,4pt5-3vv4.tsv.gz,PythonRDD[1968] at RDD at PythonRDD.scala:53
107,Vehicle_Make,c284-tqph.tsv.gz,PythonRDD[1969] at RDD at PythonRDD.scala:53
108,Address1,pqg4-dm6b.tsv.gz,PythonRDD[1970] at RDD at PythonRDD.scala:53
109,Borough,cqc8-am9x.tsv.gz,PythonRDD[1971] at RDD at PythonRDD.scala:53
110,parkname,6rrm-vxj9.tsv.gz,PythonRDD[1972] at RDD at PythonRDD.scala:53
111,ZipCode_s_,tg4x-b46p.tsv.gz,[0]
112,School_Name,jzt2-2f7h.tsv.gz,PythonRDD[1973] at RDD at PythonRDD.scala:53
113,Website,ci93-uc8s.tsv.gz,PythonRDD[1974] at RDD at PythonRDD.scala:53
114,QUEENS_CONDOMINIUM_PROPERTY_Neighborhood,m59i-mqex.tsv.gz,PythonRDD[1975] at RDD at PythonRDD.scala:53
115,School_Phone_Number,uzcy-9puk.tsv.gz,PythonRDD[1976] at RDD at PythonRDD.scala:53
116,Vendor_DBA,ci93-uc8s.tsv.gz,[0]
117,STATEN_ISLAND_CONDOMINIUM_PROPERTY_Neighborhood,cyfw-hfqk.tsv.gz,PythonRDD[1977] at RDD at PythonRDD.scala:53
118,Intersection_Street_2,3rfa-3xsf.tsv.gz,PythonRDD[1978] at RDD at PythonRDD.scala:53
119,neighborhood,uqxv-h2se.tsv.gz,PythonRDD[1979] at RDD at PythonRDD.scala:53
120,Owner_s_Street_Name,w9ak-ipjd.tsv.gz,[0]
121,VEHICLE_TYPE_CODE_1,h9gi-nx95.tsv.gz,PythonRDD[1980] at RDD at PythonRDD.scala:53
122,CrossStreet2,4twk-9yq2.tsv.gz,PythonRDD[1981] at RDD at PythonRDD.scala:53
123,CITY,fbaw-uq4e.tsv.gz,PythonRDD[1982] at RDD at PythonRDD.scala:53
124,First_Name,mdcw-n682.tsv.gz,PythonRDD[1983] at RDD at PythonRDD.scala:53
125,Address_City,w7w3-xahh.tsv.gz,PythonRDD[1984] at RDD at PythonRDD.scala:53
126,PRINCIPAL_PHONE_NUMBER,i4ni-6qin.tsv.gz,[0]
127,School_Name,imfa-v5pv.tsv.gz,PythonRDD[1985] at RDD at PythonRDD.scala:53
128,Park_Site_Name,sxx4-xhzg.tsv.gz,[0]
129,interest1,vw9i-7mzq.tsv.gz,PythonRDD[1986] at RDD at PythonRDD.scala:53
130,Cross_Street_1,sqcr-6mww.tsv.gz,PythonRDD[1987] at RDD at PythonRDD.scala:53
131,FirstName,6anw-twe4.tsv.gz,PythonRDD[1988] at RDD at PythonRDD.scala:53
132,Vehicle_Body_Type,2bnn-yakx.tsv.gz,PythonRDD[1989] at RDD at PythonRDD.scala:53
133,Park_Facility_Name,uzcy-9puk.tsv.gz,PythonRDD[1990] at RDD at PythonRDD.scala:53
134,Vehicle_Make,pvqr-7yc4.tsv.gz,PythonRDD[1991] at RDD at PythonRDD.scala:53
135,Vehicle_Color,c284-tqph.tsv.gz,PythonRDD[1992] at RDD at PythonRDD.scala:53
136,COMPARABLE_RENTAL___1___Building_Classification,m56g-jpua.tsv.gz,[0]
137,Upcoming_Project_Name,tsak-vtv3.tsv.gz,PythonRDD[1993] at RDD at PythonRDD.scala:53
138,BusinessName,tg3t-nh4h.tsv.gz,PythonRDD[1994] at RDD at PythonRDD.scala:53
139,SCHOOL_LEVEL_,cgz5-877h.tsv.gz,[0]
140,Violation_Location__Zip_Code_,jz4z-kudi.tsv.gz,[0]
141,Agency,us4j-b5zt.tsv.gz,PythonRDD[1995] at RDD at PythonRDD.scala:53
142,DVT_MAKE,vr8p-8shw.tsv.gz,[0]
143,BRONX_____CONDOMINIUMS_COMPARABLE_PROPERTIES_____Neighborhood,3qfc-4tta.tsv.gz,[0]
144,BRONX_CONDOMINIUM_PROPERTY_Neighborhood,bawj-6bgn.tsv.gz,PythonRDD[1996] at RDD at PythonRDD.scala:53
145,fax,ci93-uc8s.tsv.gz,PythonRDD[1997] at RDD at PythonRDD.scala:53
146,SCHOOL_LEVEL_,ffnc-f3aa.tsv.gz,[0]
147,VEHICLE_TYPE_CODE_4,h9gi-nx95.tsv.gz,PythonRDD[1998] at RDD at PythonRDD.scala:53
