2013,BROOKLYN,HEATING,Noise - Residential,GENERAL CONSTRUCTION,PLUMBING,PAINT - PLASTER,,,,,,2013,BROOKLYN,"['HEATING', 61084]","['Noise - Residential', 45931]","['GENERAL CONSTRUCTION', 42063]"
2014,BROOKLYN,Noise - Residential,HEAT/HOT WATER,Street Condition,HEATING,Blocked Driveway,,,,,,2014,BROOKLYN,"['Noise - Residential', 59113]","['HEAT/HOT WATER', 39306]","['Street Condition', 32909]"
2015,BROOKLYN,HEAT/HOT WATER,Noise - Residential,Blocked Driveway,Street Condition,Illegal Parking,,,,,,2015,BROOKLYN,"['HEAT/HOT WATER', 67876]","['Noise - Residential', 62902]","['Blocked Driveway', 36447]"
2016,BROOKLYN,HEAT/HOT WATER,Noise - Residential,Illegal Parking,Blocked Driveway,UNSANITARY CONDITION,,,,,,2016,BROOKLYN,"['HEAT/HOT WATER', 69572]","['Noise - Residential', 68381]","['Illegal Parking', 46028]"
2017,BROOKLYN,Noise - Residential,HEAT/HOT WATER,Illegal Parking,Blocked Driveway,UNSANITARY CONDITION,,,,,,2017,BROOKLYN,"['Noise - Residential', 67653]","['HEAT/HOT WATER', 66984]","['Illegal Parking', 55427]"
2018,BROOKLYN,HEAT/HOT WATER,Request Large Bulky Item Collection,Noise - Residential,Illegal Parking,Blocked Driveway,,,,,,2018,BROOKLYN,"['HEAT/HOT WATER', 70271]","['Request Large Bulky Item Collection', 66207]","['Noise - Residential', 62330]"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2004,BRONX,Noise - Street/Sidewalk,Water System,Sewer,Street Condition,Blocked Driveway,,,,,,2004,BRONX,"['Noise - Street/Sidewalk', 11475]","['Water System', 7461]","['Sewer', 6840]"
2005,BRONX,Street Light Condition,Water System,Noise - Street/Sidewalk,Sewer,Street Condition,,,,,,2005,BRONX,"['Street Light Condition', 29898]","['Water System', 11839]","['Noise - Street/Sidewalk', 10334]"
2006,BRONX,Street Light Condition,Water System,Traffic Signal Condition,Sewer,Noise - Street/Sidewalk,,,,,,2006,BRONX,"['Street Light Condition', 29681]","['Water System', 12175]","['Traffic Signal Condition', 9900]"
2007,BRONX,Street Light Condition,Water System,Sewer,Traffic Signal Condition,Blocked Driveway,,,,,,2007,BRONX,"['Street Light Condition', 18630]","['Water System', 12571]","['Sewer', 9980]"
2008,BRONX,Street Light Condition,Water System,Street Condition,Blocked Driveway,Traffic Signal Condition,,,,,,2008,BRONX,"['Street Light Condition', 27044]","['Water System', 10094]","['Street Condition', 8962]"
2009,BRONX,Street Light Condition,Street Condition,Water System,Blocked Driveway,Traffic Signal Condition,,,,,,2009,BRONX,"['Street Light Condition', 21261]","['Street Condition', 10663]","['Water System', 9671]"
2010,BRONX,Noise - Residential,Street Light Condition,Water System,Street Condition,DHS Advantage - Tenant,,,,,,2010,BRONX,"['Noise - Residential', 31339]","['Street Light Condition', 22662]","['Water System', 13453]"
2011,BRONX,HEATING,GENERAL CONSTRUCTION,Noise - Residential,PLUMBING,PAINT - PLASTER,,,,,,2011,BRONX,"['HEATING', 35825]","['GENERAL CONSTRUCTION', 32575]","['Noise - Residential', 29035]"
2012,BRONX,HEATING,GENERAL CONSTRUCTION,Noise - Residential,PLUMBING,PAINT - PLASTER,,,,,,2012,BRONX,"['HEATING', 56852]","['GENERAL CONSTRUCTION', 34745]","['Noise - Residential', 32042]"
2013,BRONX,HEATING,Noise - Residential,GENERAL CONSTRUCTION,PLUMBING,PAINT - PLASTER,,,,,,2013,BRONX,"['HEATING', 67655]","['Noise - Residential', 36820]","['GENERAL CONSTRUCTION', 35087]"
2014,BRONX,HEAT/HOT WATER,Noise - Residential,HEATING,PAINT/PLASTER,PLUMBING,,,,,,2014,BRONX,"['HEAT/HOT WATER', 44925]","['Noise - Residential', 44789]","['HEATING', 34919]"
2015,BRONX,HEAT/HOT WATER,Noise - Residential,UNSANITARY CONDITION,PAINT/PLASTER,Street Light Condition,,,,,,2015,BRONX,"['HEAT/HOT WATER', 71865]","['Noise - Residential', 49342]","['UNSANITARY CONDITION', 23620]"
2016,BRONX,HEAT/HOT WATER,Noise - Residential,UNSANITARY CONDITION,PAINT/PLASTER,Blocked Driveway,,,,,,2016,BRONX,"['HEAT/HOT WATER', 74201]","['Noise - Residential', 53848]","['UNSANITARY CONDITION', 24785]"
2017,BRONX,HEAT/HOT WATER,Noise - Residential,Blocked Driveway,UNSANITARY CONDITION,PAINT/PLASTER,,,,,,2017,BRONX,"['HEAT/HOT WATER', 68718]","['Noise - Residential', 57680]","['Blocked Driveway', 24597]"
2018,BRONX,HEAT/HOT WATER,Noise - Residential,UNSANITARY CONDITION,Blocked Driveway,PAINT/PLASTER,,,,,,2018,BRONX,"['HEAT/HOT WATER', 71454]","['Noise - Residential', 56381]","['UNSANITARY CONDITION', 26726]"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2004,STATEN ISLAND,Water System,Sewer,Street Condition,Missed Collection (All Materials),General Construction/Plumbing,,,,,,2004,STATEN ISLAND,"['Water System', 6704]","['Sewer', 6427]","['Street Condition', 5241]"
2005,STATEN ISLAND,Street Light Condition,Street Condition,Water System,Sewer,Root/Sewer/Sidewalk Condition,,,,,,2005,STATEN ISLAND,"['Street Light Condition', 10208]","['Street Condition', 9661]","['Water System', 8986]"
2006,STATEN ISLAND,Street Light Condition,Street Condition,Water System,Sewer,Missed Collection (All Materials),,,,,,2006,STATEN ISLAND,"['Street Light Condition', 12217]","['Street Condition', 9320]","['Water System', 7958]"
2007,STATEN ISLAND,Street Condition,Water System,Sewer,Street Light Condition,Missed Collection (All Materials),,,,,,2007,STATEN ISLAND,"['Street Condition', 10820]","['Water System', 9792]","['Sewer', 9211]"
2008,STATEN ISLAND,Street Condition,Street Light Condition,Sewer,Water System,General Construction/Plumbing,,,,,,2008,STATEN ISLAND,"['Street Condition', 10777]","['Street Light Condition', 10347]","['Sewer', 7121]"
2009,STATEN ISLAND,Street Condition,Street Light Condition,Water System,Sewer,General Construction/Plumbing,,,,,,2009,STATEN ISLAND,"['Street Condition', 12859]","['Street Light Condition', 10735]","['Water System', 5994]"
2010,STATEN ISLAND,Street Condition,Street Light Condition,Water System,Sewer,Damaged Tree,,,,,,2010,STATEN ISLAND,"['Street Condition', 12657]","['Street Light Condition', 7237]","['Water System', 5400]"
2011,STATEN ISLAND,Street Condition,Sewer,Street Light Condition,Damaged Tree,Water System,,,,,,2011,STATEN ISLAND,"['Street Condition', 13018]","['Sewer', 6450]","['Street Light Condition', 5969]"
2012,STATEN ISLAND,Street Condition,Damaged Tree,Street Light Condition,Water System,Sewer,,,,,,2012,STATEN ISLAND,"['Street Condition', 7804]","['Damaged Tree', 6024]","['Street Light Condition', 5916]"
2013,STATEN ISLAND,Street Condition,Water System,Street Light Condition,Noise - Residential,Sewer,,,,,,2013,STATEN ISLAND,"['Street Condition', 9042]","['Water System', 5689]","['Street Light Condition', 5610]"
2014,STATEN ISLAND,Street Condition,Water System,Noise - Residential,Street Light Condition,Illegal Parking,,,,,,2014,STATEN ISLAND,"['Street Condition', 16806]","['Water System', 6236]","['Noise - Residential', 5715]"
2015,STATEN ISLAND,Street Condition,Noise - Residential,Illegal Parking,Street Light Condition,Water System,,,,,,2015,STATEN ISLAND,"['Street Condition', 17574]","['Noise - Residential', 6258]","['Illegal Parking', 6223]"
2016,STATEN ISLAND,Street Condition,Illegal Parking,Noise - Residential,Street Light Condition,Water System,,,,,,2016,STATEN ISLAND,"['Street Condition', 10773]","['Illegal Parking', 6919]","['Noise - Residential', 6483]"
2017,STATEN ISLAND,Electronics Waste,Street Condition,Illegal Parking,Noise - Residential,Street Light Condition,,,,,,2017,STATEN ISLAND,"['Electronics Waste', 12191]","['Street Condition', 10565]","['Illegal Parking', 7583]"
2018,STATEN ISLAND,Request Large Bulky Item Collection,Street Condition,Illegal Parking,Street Light Condition,Missed Collection (All Materials),,,,,,2018,STATEN ISLAND,"['Request Large Bulky Item Collection', 14138]","['Street Condition', 12407]","['Illegal Parking', 8283]"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2004,QUEENS,Sewer,Water System,Blocked Driveway,Noise - Street/Sidewalk,Building/Use,,,,,,2004,QUEENS,"['Sewer', 26123]","['Water System', 17578]","['Blocked Driveway', 14288]"
2005,QUEENS,Street Light Condition,Sewer,Water System,Building/Use,Blocked Driveway,,,,,,2005,QUEENS,"['Street Light Condition', 45740]","['Sewer', 32554]","['Water System', 28090]"
2006,QUEENS,Street Light Condition,Sewer,Water System,Traffic Signal Condition,Blocked Driveway,,,,,,2006,QUEENS,"['Street Light Condition', 47007]","['Sewer', 30910]","['Water System', 21874]"
2007,QUEENS,Street Light Condition,Sewer,Water System,Blocked Driveway,Street Condition,,,,,,2007,QUEENS,"['Street Light Condition', 47163]","['Sewer', 38516]","['Water System', 23055]"
2008,QUEENS,Street Light Condition,Sewer,General Construction/Plumbing,Street Condition,Blocked Driveway,,,,,,2008,QUEENS,"['Street Light Condition', 49609]","['Sewer', 30394]","['General Construction/Plumbing', 23593]"
2009,QUEENS,Street Light Condition,Street Condition,Blocked Driveway,Sewer,Building/Use,,,,,,2009,QUEENS,"['Street Light Condition', 43009]","['Street Condition', 28442]","['Blocked Driveway', 20371]"
2010,QUEENS,Street Light Condition,Street Condition,Noise - Residential,Blocked Driveway,Damaged Tree,,,,,,2010,QUEENS,"['Street Light Condition', 38651]","['Street Condition', 27998]","['Noise - Residential', 22189]"
2011,QUEENS,Street Light Condition,Street Condition,Blocked Driveway,Noise - Residential,Sewer,,,,,,2011,QUEENS,"['Street Light Condition', 31227]","['Street Condition', 28399]","['Blocked Driveway', 21427]"
2012,QUEENS,Street Light Condition,Damaged Tree,Noise - Residential,HEATING,Blocked Driveway,,,,,,2012,QUEENS,"['Street Light Condition', 28778]","['Damaged Tree', 26525]","['Noise - Residential', 25388]"
2013,QUEENS,Street Light Condition,Noise - Residential,HEATING,Blocked Driveway,Street Condition,,,,,,2013,QUEENS,"['Street Light Condition', 28711]","['Noise - Residential', 28227]","['HEATING', 24893]"
2014,QUEENS,Noise - Residential,Street Condition,Blocked Driveway,Street Light Condition,Illegal Parking,,,,,,2014,QUEENS,"['Noise - Residential', 38061]","['Street Condition', 33975]","['Blocked Driveway', 33007]"
2015,QUEENS,Blocked Driveway,Noise - Residential,Street Condition,Street Light Condition,HEAT/HOT WATER,,,,,,2015,QUEENS,"['Blocked Driveway', 41486]","['Noise - Residential', 41301]","['Street Condition', 39395]"
2016,QUEENS,Blocked Driveway,Noise - Residential,Illegal Parking,HEAT/HOT WATER,Street Light Condition,,,,,,2016,QUEENS,"['Blocked Driveway', 48289]","['Noise - Residential', 42702]","['Illegal Parking', 35842]"
2017,QUEENS,Blocked Driveway,Noise - Residential,Illegal Parking,Street Condition,HEAT/HOT WATER,,,,,,2017,QUEENS,"['Blocked Driveway', 54333]","['Noise - Residential', 46406]","['Illegal Parking', 46100]"
2018,QUEENS,Request Large Bulky Item Collection,Blocked Driveway,Illegal Parking,Noise - Residential,Street Condition,,,,,,2018,QUEENS,"['Request Large Bulky Item Collection', 71643]","['Blocked Driveway', 55328]","['Illegal Parking', 51202]"
